"吃药","吃藥","chīyào","take pills","mp3/glossary/source/chinesepod_8277_vocabulary_121008_prototype_1590484111.mp3","covid words"
"呈阴性","呈陰性","chéngyīnxìng","to be negative","mp3/glossary/source/chinesepod_8277_vocabulary_121007_prototype_1590484104.mp3","covid words"
"呈阳性","呈陽性","chéngyángxìng","to be positive","mp3/glossary/source/chinesepod_8277_vocabulary_121006_prototype_1590484098.mp3","covid words"
"检查结果","檢查結果","jiǎnchájiéguǒ","test result","mp3/glossary/source/chinesepod_8277_vocabulary_121005_prototype_1590484068.mp3","covid words"
"洗手","洗手","xǐshǒu","wash hands","mp3/glossary/source/chinesepod_8277_vocabulary_121004_prototype_1590484059.mp3","covid words"
"六尺","六尺","liùchǐ","six feet","mp3/glossary/source/chinesepod_8277_vocabulary_121003_prototype_1590484053.mp3","covid words"
"保持社交距离","保持社交距離","bǎochíshèjiāojùlí","keep social distance","mp3/glossary/source/chinesepod_8277_vocabulary_121002_prototype_1590484045.mp3","covid words"
"待在家里","待在家裡","dāizàijiālǐ","stay at home","mp3/glossary/source/chinesepod_8277_vocabulary_121001_prototype_1590484032.mp3","covid words"
"隔离","隔離","gélí","quarantine","mp3/glossary/source/chinesepod_8277_vocabulary_121000_prototype_1590484015.mp3","covid words"
"感冒","感冒","gǎnmào","(common) cold","mp3/glossary/source/chinesepod_8277_vocabulary_120998_prototype_1590483982.mp3","covid words"
"忧虑","憂慮","yōulǜ","worried; concerned","mp3/glossary/source/chinesepod_8277_vocabulary_120999_prototype_1590483989.mp3","covid words"
"失去味觉","失去味覺","shīqùwèijué","loss of taste","mp3/glossary/source/chinesepod_8277_vocabulary_120997_prototype_1590483965.mp3","covid words"
"头痛","頭痛","tóutòng","headache","mp3/glossary/source/chinesepod_8277_vocabulary_120996_prototype_1590483957.mp3","covid words"
"胸口痛","胸口痛","xiōngkǒutòng","chest pain","mp3/glossary/source/chinesepod_8277_vocabulary_120995_prototype_1590483951.mp3","covid words"
"呼吸困难","呼吸困難","hūxīkùnnán","breathing difficulty","mp3/glossary/source/chinesepod_8277_vocabulary_120994_prototype_1590483943.mp3","covid words"
"症状","症狀","zhèngzhuàng","symptoms","mp3/glossary/source/chinesepod_8277_vocabulary_120993_prototype_1590483904.mp3","covid words"
"新冠肺炎","新冠肺炎","xīnguānfèiyán","COVID-19","mp3/glossary/source/chinesepod_8277_vocabulary_120992_prototype_1590483885.mp3","covid words"
"措施","措施","cuòshī","measure","mp3/glossary/source/chinesepod_8277_vocabulary_120990_prototype_1590483766.mp3","covid words"
"防疫","防疫","fángyì","disease prevention","mp3/glossary/source/chinesepod_8277_vocabulary_120989_prototype_1590483759.mp3","covid words"
"卫生","衛生","wèishēng","hygiene; sanitation","mp3/glossary/source/chinesepod_8277_vocabulary_120988_prototype_1590483847.mp3","covid words"
"个人","個人","gèrén","personal; oneself","mp3/glossary/source/chinesepod_8277_vocabulary_121013_prototype_1590483860.mp3","covid words"
"消毒","消毒","xiāodú","to disinfect","mp3/glossary/source/chinesepod_8277_vocabulary_120987_prototype_1590483838.mp3","covid words"
"手套","手套","shǒutào","glove; mitten","mp3/glossary/source/chinesepod_8277_vocabulary_120986_prototype_1590483831.mp3","covid words"
"口罩","口罩","kǒuzhào","mask (surgical)","mp3/glossary/source/chinesepod_8277_vocabulary_120985_prototype_1590483824.mp3","covid words"
"戴","戴","dài","to put on or wear","mp3/glossary/source/chinesepod_8277_vocabulary_120984_prototype_1590483818.mp3","covid words"
"休息","休息","xiūxi","take a break; rest","mp3/glossary/source/chinesepod_8277_vocabulary_121009_prototype_1590484117.mp3","covid words"
"好","好","hǎo","good","","untagged"
"你","你","nǐ","you","","untagged"
"我","我","wǒ","I","","untagged"
"很","很","hěn","very","","untagged"
"谢谢","謝謝","xièxie","thank you","","untagged"
"他","他","tā","he","","untagged"
"她","她","tā","she","","untagged"
"他们","他們","tāmen","they","","untagged"
"我们","我們","wǒmen","we","","untagged"
"你好","你好","nǐhǎo","hello","","untagged"
"叫","叫","jiào","to be called","","untagged"
"什么","什麽","shénme","what","","untagged"
"名字","名字","míngzi","name","","untagged"
